drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
zyprexa intramuscular,common,0.0,0.0,0.0,2.0,rx,c,n,x,none,bipolar disorder,none,bipolar disorder
olanzapine / samidorphan,lybalvi,5.0,8.0,10.0,1.0,rx,unknown,n,x,"'heart problems, a stroke, high orlow blood pressure', 'low white blood cell counts', 'diabetes or high blood sugar (in you or a family member)', 'high cholesterolor triglycerides', 'trouble swallowing', 'a seizure', 'anenlarged prostateand urination problems', 'breast cance', 'high blood levels of prolactin', 'drug addiction', 'constipation, or abowel obstruction', 'kidney disease', 'if you have a planned surgery or medical procedure'",bipolar disorder,"heart problems , stroke , high orlow blood pressure , low white blood cell counts , diabetes high blood sugar family member , high cholesterolor triglycerides , trouble swallowing , seizure , anenlarged prostateand urination problems , breast cance , high blood levels prolactin , drug addiction , constipation , abowel obstruction , kidney disease , planned surgery medical procedure",bipolar disorder
rykindo,perseris ; risperdal consta ; rykindo; uzedy,0.0,0.0,0.0,1.0,rx,c,n,x,none,bipolar disorder,none,bipolar disorder
fanapt,common,10.0,5.5,2.0,0.0,rx,c,n,x,"'trouble swallowing', 'long qt syndrome(in you or a family member)', 'a seizure', 'diabetes, or risk factors such as beingoverweightor having a family history of diabetes', 'breast cance', 'high cholesterolor triglycerides', 'an electrolyte imbalance (such as low levels of potassium or magnesium in your blood)', 'low bone mineral density', 'liver disease'",bipolar disorder,"trouble swallowing , long qt syndromein family member , seizure , diabetes , risk factors beingoverweightor family history diabetes , breast cance , high cholesterolor triglycerides , electrolyte imbalance low levels potassium magnesium blood , low bone mineral density , liver disease",bipolar disorder
azithromycin,azasite; azithromycin 3 day dose pack; azithromycin 5 day dose pack; zithromax ; zithromax tri-pak; zithromax z-pak; zmax,250.0,6.2,188.0,80.0,rx,b,n,n,"'you have ever had jaundice or liver problems caused by taking azithromycin', 'you are allergic to similar drugs such as clarithromycin, erythromycin, or telithromycin'",bronchitis,"ever jaundice liver problems caused taking azithromycin , allergic similar drugs clarithromycin , erythromycin , telithromycin",bronchitis
mucinex,common,600.0,5.9,53.0,80.0,rx/otc,c,n,n,"'immediate release formulation:200 to 400 mg orally every 4 hours as needed, not to exceed 24 g/day', 'sustained release formulation:600 to 1200 mg orally every 12 hours, not to exceed 24 g/day'",bronchitis,"immediate release formulation200 400 mg orally every 4 hours needed , exceed 24 gday , sustained release formulation600 1200 mg orally every 12 hours , exceed 24 gday",bronchitis
doxycycline,acticlate ; adoxa ck ; adoxa pak ; adoxa tt ; alodox ;,100.0,5.1,50.0,78.0,rx,d,n,x,"'liver disease', 'kidney disease', 'asthma or sulfite allergy', 'increased pressure inside your skull', 'if you also take isotretinoin, seizure medicine, or a blood thinner such as warfarin (coumadin)'",bronchitis,"liver disease , kidney disease , asthma sulfite allergy , increased pressure inside skull , also take isotretinoin , seizure medicine , blood thinner warfarin coumadin",bronchitis
azithromycin dose pack,azithromycin 3 day dose pack; azithromycin 5 day dose pack; zithromax ; zithromax iv; zithromax tri-pak; zithromax z-pak,0.0,5.9,17.0,73.0,rx,b,n,n,"'jaundice or liver problems caused by taking azithromycin 3 day dose pack 3 day dose pack', 'a severe allergic reaction to similar drugs such as clarithromycin, erythromycin, or telithromycin'",bronchitis,"jaundice liver problems caused taking azithromycin 3 day dose pack 3 day dose pack , severe allergic reaction similar drugs clarithromycin , erythromycin , telithromycin",bronchitis
amoxicillin,amoxil ; trimox ; moxatag,0.0,5.8,15.0,48.0,rx,b,n,n,"'kidney disease', 'mononucleosis(also called ""mono"")', 'diarrheacaused by takingantibiotics', 'food or drugallergies(especially to a cephalosporin antibiotic such asomnicef,cefzil,ceftin,keflex, and others)'",bronchitis,"kidney disease , mononucleosisalso called mono , diarrheacaused takingantibiotics , food drugallergiesespecially cephalosporin antibiotic asomnicef , cefzil , ceftin , keflex , others",bronchitis
guaifenesin,mucinex ; robitussin mucus + chest congestion; triaminic chest congestion; tussin expectorant ; xpect ; organidin nr ; bidex 400,600.0,6.7,77.0,48.0,rx/otc,c,n,n,"'dizziness,headache', 'drowsiness', 'rash', 'nausea,vomiting,stomach upset'",bronchitis,"dizziness , headache , drowsiness , rash , nausea , vomiting , stomach upset",bronchitis
levofloxacin,levaquin,750.0,5.5,119.0,39.0,rx,c,n,n,"'tendon problems, bone problems, arthritis or other joint problems (especially in children)', 'blood circulation problems, aneurysm, narrowing or hardening of the arteries', 'heart problems,high blood pressure', ""a genetic disease such as marfan syndrome or ehler's-danlos syndrome"", 'diabetes', 'a muscle or nerve disorder, such asmyasthenia gravis', 'kidney disease', 'seizuresorepilepsy', 'ahead injuryorbrain tum', 'long qt syndrome(in you or a family member)', 'low levels of potassium in your blood (hypokalemia)'",bronchitis,"tendon problems , bone problems , arthritis joint problems especially children , blood circulation problems , aneurysm , narrowing hardening arteries , heart problems , high blood pressure , genetic disease marfan syndrome ehlersdanlos syndrome , diabetes , muscle nerve disorder , asmyasthenia gravis , kidney disease , seizuresorepilepsy , ahead injuryorbrain tum , long qt syndromein family member , low levels potassium blood hypokalemia",bronchitis
